"cnty_fips","display_name","Value","theme_range"
56043,"""Washakie, (WY)""",158.5,"147.4 - 167.6 (641)"
22031,"""De Soto, (LA)""",194.1,"187.0 - 216.6 (634)"
48001,"""Anderson, (TX)""",282.2,"216.7 - 502.5 (641)"
48005,"""Angelina, (TX)""",195.3,"187.0 - 216.6 (634)"
48007,"""Aransas, (TX)""",178.6,"167.7 - 186.9 (647)"
48013,"""Atascosa, (TX)""",182.9,"167.7 - 186.9 (647)"
48015,"""Austin, (TX)""",181.8,"167.7 - 186.9 (647)"
48019,"""Bandera, (TX)""",164.8,"147.4 - 167.6 (641)"
48021,"""Bastrop, (TX)""",172,"167.7 - 186.9 (647)"
48025,"""Bee, (TX)""",216.3,"187.0 - 216.6 (634)"
48027,"""Bell, (TX)""",159.1,"147.4 - 167.6 (641)"
48029,"""Bexar, (TX)""",171.4,"167.7 - 186.9 (647)"
48031,"""Blanco, (TX)""",136.7,"28.1 - 147.3 (644)"
48035,"""Bosque, (TX)""",200.5,"187.0 - 216.6 (634)"
48039,"""Brazoria, (TX)""",168.9,"167.7 - 186.9 (647)"
48041,"""Brazos, (TX)""",155.4,"147.4 - 167.6 (641)"
48043,"""Brewster, (TX)""",124.9,"28.1 - 147.3 (644)"
48047,"""Brooks, (TX)""",193.7,"187.0 - 216.6 (634)"
48049,"""Brown, (TX)""",199.6,"187.0 - 216.6 (634)"
48051,"""Burleson, (TX)""",314.4,"216.7 - 502.5 (641)"
48053,"""Burnet, (TX)""",138.6,"28.1 - 147.3 (644)"
48055,"""Caldwell, (TX)""",183.4,"167.7 - 186.9 (647)"
48057,"""Calhoun, (TX)""",182.8,"167.7 - 186.9 (647)"
48061,"""Cameron, (TX)""",147.5,"147.4 - 167.6 (641)"
48071,"""Chambers, (TX)""",208.3,"187.0 - 216.6 (634)"
48073,"""Cherokee, (TX)""",246.3,"216.7 - 502.5 (641)"
48081,"""Coke, (TX)""",174.3,"167.7 - 186.9 (647)"
48083,"""Coleman, (TX)""",211.3,"187.0 - 216.6 (634)"
48089,"""Colorado, (TX)""",206.2,"187.0 - 216.6 (634)"
48091,"""Comal, (TX)""",162.8,"147.4 - 167.6 (641)"
48093,"""Comanche, (TX)""",206.7,"187.0 - 216.6 (634)"
48095,"""Concho, (TX)""",173,"167.7 - 186.9 (647)"
48099,"""Coryell, (TX)""",187.5,"187.0 - 216.6 (634)"
48103,"""Crane, (TX)""",186.8,"167.7 - 186.9 (647)"
48105,"""Crockett, (TX)""",233.9,"216.7 - 502.5 (641)"
48109,"""Culberson, (TX)""",170,"167.7 - 186.9 (647)"
48123,"""DeWitt, (TX)""",184,"167.7 - 186.9 (647)"
48127,"""Dimmit, (TX)""",157.8,"147.4 - 167.6 (641)"
48131,"""Duval, (TX)""",198,"187.0 - 216.6 (634)"
48135,"""Ector, (TX)""",212.5,"187.0 - 216.6 (634)"
48137,"""Edwards, (TX)""",169,"167.7 - 186.9 (647)"
48141,"""El Paso, (TX)""",142.5,"28.1 - 147.3 (644)"
48145,"""Falls, (TX)""",186.9,"167.7 - 186.9 (647)"
48149,"""Fayette, (TX)""",187,"187.0 - 216.6 (634)"
48157,"""Fort Bend, (TX)""",124,"28.1 - 147.3 (644)"
48161,"""Freestone, (TX)""",202.1,"187.0 - 216.6 (634)"
48163,"""Frio, (TX)""",206.1,"187.0 - 216.6 (634)"
48167,"""Galveston, (TX)""",169.5,"167.7 - 186.9 (647)"
48171,"""Gillespie, (TX)""",149.2,"147.4 - 167.6 (641)"
48173,"""Glasscock, (TX)""",183,"167.7 - 186.9 (647)"
48175,"""Goliad, (TX)""",191.4,"187.0 - 216.6 (634)"
48177,"""Gonzales, (TX)""",174.1,"167.7 - 186.9 (647)"
48185,"""Grimes, (TX)""",186.1,"167.7 - 186.9 (647)"
48187,"""Guadalupe, (TX)""",163.5,"147.4 - 167.6 (641)"
48193,"""Hamilton, (TX)""",185.8,"167.7 - 186.9 (647)"
48199,"""Hardin, (TX)""",235.3,"216.7 - 502.5 (641)"
48201,"""Harris, (TX)""",160.2,"147.4 - 167.6 (641)"
48209,"""Hays, (TX)""",135.1,"28.1 - 147.3 (644)"
48215,"""Hidalgo, (TX)""",144.7,"28.1 - 147.3 (644)"
48217,"""Hill, (TX)""",191.9,"187.0 - 216.6 (634)"
48225,"""Houston, (TX)""",231.7,"216.7 - 502.5 (641)"
48229,"""Hudspeth, (TX)""",144.2,"28.1 - 147.3 (644)"
48235,"""Irion, (TX)""",173.8,"167.7 - 186.9 (647)"
48239,"""Jackson, (TX)""",214.1,"187.0 - 216.6 (634)"
48241,"""Jasper, (TX)""",235.7,"216.7 - 502.5 (641)"
48243,"""Jeff Davis, (TX)""",127.7,"28.1 - 147.3 (644)"
48245,"""Jefferson, (TX)""",239.1,"216.7 - 502.5 (641)"
48247,"""Jim Hogg, (TX)""",155.8,"147.4 - 167.6 (641)"
48249,"""Jim Wells, (TX)""",264.7,"216.7 - 502.5 (641)"
48255,"""Karnes, (TX)""",219.1,"216.7 - 502.5 (641)"
48259,"""Kendall, (TX)""",167,"147.4 - 167.6 (641)"
48261,"""Kenedy, (TX)""",155.8,"147.4 - 167.6 (641)"
48265,"""Kerr, (TX)""",149.8,"147.4 - 167.6 (641)"
48267,"""Kimble, (TX)""",168,"167.7 - 186.9 (647)"
48271,"""Kinney, (TX)""",168.3,"167.7 - 186.9 (647)"
