"cnty_fips","display_name","Value","theme_range"
49045,"""Tooele, (UT)""",36.1,"32.7 - 37.1 (650)"
49047,"""Uintah, (UT)""",28.8,"0.0 - 32.6 (652)"
49049,"""Utah, (UT)""",36.7,"32.7 - 37.1 (650)"
49051,"""Wasatch, (UT)""",35.4,"32.7 - 37.1 (650)"
49053,"""Washington, (UT)""",34.1,"32.7 - 37.1 (650)"
49055,"""Wayne, (UT)""",37.1,"32.7 - 37.1 (650)"
49057,"""Weber, (UT)""",38.8,"37.2 - 40.7 (628)"
56003,"""Big Horn, (WY)""",36.5,"32.7 - 37.1 (650)"
56007,"""Carbon, (WY)""",35.2,"32.7 - 37.1 (650)"
56013,"""Fremont, (WY)""",31.6,"0.0 - 32.6 (652)"
56017,"""Hot Springs, (WY)""",29.6,"0.0 - 32.6 (652)"
56023,"""Lincoln, (WY)""",32.7,"32.7 - 37.1 (650)"
56025,"""Natrona, (WY)""",31.6,"0.0 - 32.6 (652)"
56029,"""Park, (WY)""",30.1,"0.0 - 32.6 (652)"
56035,"""Sublette, (WY)""",30.4,"0.0 - 32.6 (652)"
56037,"""Sweetwater, (WY)""",32,"0.0 - 32.6 (652)"
56039,"""Teton, (WY)""",31.1,"0.0 - 32.6 (652)"
56041,"""Uinta, (WY)""",32.3,"0.0 - 32.6 (652)"
56043,"""Washakie, (WY)""",31.1,"0.0 - 32.6 (652)"
22031,"""De Soto, (LA)""",49.8,"46.2 - 112.3 (634)"
48001,"""Anderson, (TX)""",43.6,"40.8 - 46.1 (652)"
48005,"""Angelina, (TX)""",92.5,"46.2 - 112.3 (634)"
48007,"""Aransas, (TX)""",27.7,"0.0 - 32.6 (652)"
48013,"""Atascosa, (TX)""",42.5,"40.8 - 46.1 (652)"
48015,"""Austin, (TX)""",34.4,"32.7 - 37.1 (650)"
48019,"""Bandera, (TX)""",41.4,"40.8 - 46.1 (652)"
48021,"""Bastrop, (TX)""",38,"37.2 - 40.7 (628)"
48025,"""Bee, (TX)""",48.6,"46.2 - 112.3 (634)"
48027,"""Bell, (TX)""",32.9,"32.7 - 37.1 (650)"
48029,"""Bexar, (TX)""",42.6,"40.8 - 46.1 (652)"
48031,"""Blanco, (TX)""",37,"32.7 - 37.1 (650)"
48035,"""Bosque, (TX)""",46.6,"46.2 - 112.3 (634)"
48039,"""Brazoria, (TX)""",42.4,"40.8 - 46.1 (652)"
48041,"""Brazos, (TX)""",38.7,"37.2 - 40.7 (628)"
48043,"""Brewster, (TX)""",28.8,"0.0 - 32.6 (652)"
48047,"""Brooks, (TX)""",28.9,"0.0 - 32.6 (652)"
48049,"""Brown, (TX)""",41.7,"40.8 - 46.1 (652)"
48051,"""Burleson, (TX)""",38.1,"37.2 - 40.7 (628)"
48053,"""Burnet, (TX)""",37.9,"37.2 - 40.7 (628)"
48055,"""Caldwell, (TX)""",37.6,"37.2 - 40.7 (628)"
48057,"""Calhoun, (TX)""",41.3,"40.8 - 46.1 (652)"
48061,"""Cameron, (TX)""",28.2,"0.0 - 32.6 (652)"
48071,"""Chambers, (TX)""",41.9,"40.8 - 46.1 (652)"
48073,"""Cherokee, (TX)""",41.3,"40.8 - 46.1 (652)"
48081,"""Coke, (TX)""",41,"40.8 - 46.1 (652)"
48083,"""Coleman, (TX)""",42.7,"40.8 - 46.1 (652)"
48089,"""Colorado, (TX)""",35.8,"32.7 - 37.1 (650)"
48091,"""Comal, (TX)""",38,"37.2 - 40.7 (628)"
48093,"""Comanche, (TX)""",41.8,"40.8 - 46.1 (652)"
48095,"""Concho, (TX)""",42.2,"40.8 - 46.1 (652)"
48099,"""Coryell, (TX)""",42.6,"40.8 - 46.1 (652)"
48103,"""Crane, (TX)""",39.9,"37.2 - 40.7 (628)"
48105,"""Crockett, (TX)""",35.7,"32.7 - 37.1 (650)"
48109,"""Culberson, (TX)""",32.4,"0.0 - 32.6 (652)"
48123,"""DeWitt, (TX)""",38,"37.2 - 40.7 (628)"
48127,"""Dimmit, (TX)""",39.9,"37.2 - 40.7 (628)"
48131,"""Duval, (TX)""",39.8,"37.2 - 40.7 (628)"
48135,"""Ector, (TX)""",39.9,"37.2 - 40.7 (628)"
48137,"""Edwards, (TX)""",39.5,"37.2 - 40.7 (628)"
48141,"""El Paso, (TX)""",32,"0.0 - 32.6 (652)"
48145,"""Falls, (TX)""",45.9,"40.8 - 46.1 (652)"
48149,"""Fayette, (TX)""",37,"32.7 - 37.1 (650)"
48157,"""Fort Bend, (TX)""",36,"32.7 - 37.1 (650)"
48161,"""Freestone, (TX)""",45.2,"40.8 - 46.1 (652)"
48163,"""Frio, (TX)""",43.5,"40.8 - 46.1 (652)"
48167,"""Galveston, (TX)""",45.4,"40.8 - 46.1 (652)"
48171,"""Gillespie, (TX)""",30.2,"0.0 - 32.6 (652)"
48173,"""Glasscock, (TX)""",33.8,"32.7 - 37.1 (650)"
48175,"""Goliad, (TX)""",39.4,"37.2 - 40.7 (628)"
48177,"""Gonzales, (TX)""",36.3,"32.7 - 37.1 (650)"
48185,"""Grimes, (TX)""",37.2,"37.2 - 40.7 (628)"
48187,"""Guadalupe, (TX)""",31.3,"0.0 - 32.6 (652)"
48193,"""Hamilton, (TX)""",41.7,"40.8 - 46.1 (652)"
48199,"""Hardin, (TX)""",46.1,"40.8 - 46.1 (652)"
48201,"""Harris, (TX)""",41,"40.8 - 46.1 (652)"
48209,"""Hays, (TX)""",37.2,"37.2 - 40.7 (628)"
48215,"""Hidalgo, (TX)""",25.3,"0.0 - 32.6 (652)"
